Holdings details

S&P 500 Growth ETF (VOOG)


Equity,as of 11/30/2024

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,BRC3N73,Super Micro Computer Inc,SMCI,0.06%,"Technology Hardware, Storage & Peripherals",US,---,"$8,108,885.76","248,434"
,BK531S8,Otis Worldwide Corp,OTIS,0.06%,Industrial Machinery & Supplies & Components,US,---,"$7,940,478.86","77,107"
,2754060,Rockwell Automation Inc,ROK,0.06%,Electrical Components & Equipment,US,---,"$7,939,561.14","26,901"
,2567116,Edwards Lifesciences Corp,EW,0.05%,Health Care Equipment,US,---,"$7,847,572.45","109,987"
,B1VP7R6,Broadridge Financial Solutions Inc,BR,0.05%,Data Processing & Outsourced Services,US,---,"$7,754,909.14","32,857"
,2122117,Take-Two Interactive Software Inc,TTWO,0.05%,Interactive Home Entertainment,US,---,"$7,567,412.98","40,171"
,B5834C5,Cboe Global Markets Inc,CBOE,0.05%,Financial Exchanges & Data,US,---,"$7,136,864.40","33,064"
,B95N910,PTC Inc,PTC,0.05%,Application Software,US,---,"$7,113,933.54","35,559"
,2262864,CoStar Group Inc,CSGP,0.05%,Real Estate Services,US,---,"$7,070,560.84","86,926"
,2583576,ON Semiconductor Corp,ON,0.05%,Semiconductors,US,---,"$6,612,310.88","92,974"
,BDR73G1,IQVIA Holdings Inc,IQV,0.05%,Life Sciences Tools & Services,US,---,"$6,529,308.40","32,510"
,2849472,Steel Dynamics Inc,STLD,0.05%,Steel,US,---,"$6,486,014.96","44,648"
,2162340,Coterra Energy Inc,CTRA,0.04%,Oil & Gas Exploration & Production,US,---,"$6,392,866.88","239,254"
,2900335,Tractor Supply Co,TSCO,0.04%,Other Specialty Retail,US,---,"$6,332,081.74","22,322"
,BLS09M3,Pentair PLC,PNR,0.04%,Industrial Machinery & Supplies & Components,US,---,"$6,229,977.39","57,161"
,2319146,Equifax Inc,EFX,0.04%,Research & Consulting Services,US,---,"$6,226,174.24","23,804"
,2195841,Church & Dwight Co Inc,CHD,0.04%,Household Products,US,---,"$6,121,796.31","55,587"
,B28TS42,Ulta Beauty Inc,ULTA,0.04%,Other Specialty Retail,US,---,"$6,010,318.80","15,545"
,BFY8C75,STERIS PLC,STE,0.04%,Health Care Equipment,US,---,"$5,973,109.02","27,267"
,B9CGTC3,Norwegian Cruise Line Holdings Ltd,NCLH,0.04%,"Hotels, Resorts & Cruise Lines",US,---,"$5,832,414.11","216,899"
,B02T2J7,Las Vegas Sands Corp,LVS,0.04%,Casinos & Gaming,US,---,"$5,645,637.06","106,401"
,BDFG6S3,Hubbell Inc,HUBB,0.04%,Electrical Components & Equipment,US,---,"$5,599,755.39","12,171"
,2289874,Darden Restaurants Inc,DRI,0.04%,Restaurants,US,---,"$5,355,435.14","30,382"
,2212706,Molina Healthcare Inc,MOH,0.04%,Managed Health Care,US,---,"$5,091,111.00","17,090"
,2126249,Mettler-Toledo International Inc,MTD,0.03%,Life Sciences Tools & Services,US,---,"$4,973,520.00","3,975"
,2422806,Hershey Co/The,HSY,0.03%,Packaged Foods & Meats,US,---,"$4,875,982.92","27,684"
,BBM5MD6,CDW Corp/DE,CDW,0.03%,Technology Distributors,US,---,"$4,869,214.61","27,677"
,BZ6TS23,SBA Communications Corp,SBAC,0.03%,Telecom Tower REITs,US,---,"$4,803,061.25","21,229"
,2570200,Masco Corp,MAS,0.03%,Building Products,US,---,"$4,687,141.92","58,182"
,2630643,NetApp Inc,NTAP,0.03%,"Technology Hardware, Storage & Peripherals",US,---,"$4,601,575.44","37,521"
,2679204,Align Technology Inc,ALGN,0.03%,Health Care Supplies,US,---,"$4,441,717.14","19,082"
